Time(sec)	CellId	BwpId	txStreamId 	IMSI	rxStreamId	pathLoss(dB)
0.605	1	0	0	1	0	-123.879
0.605071	1	0	0	1	0	-123.879
0.605071	1	0	1	1	1	-123.879
0.606	1	0	0	1	0	-123.879
0.606071	1	0	0	1	0	-123.879
0.606071	1	0	1	1	1	-123.879
0.607	1	0	0	1	0	-123.879
0.607071	1	0	0	1	0	-123.879
0.607071	1	0	1	1	1	-123.879
0.608	1	0	0	1	0	-123.879
0.608071	1	0	0	1	0	-123.879
0.609	1	0	0	1	0	-123.879
0.609071	1	0	0	1	0	-123.879
0.609071	1	0	1	1	1	-123.879
0.61	1	0	0	1	0	-123.879
0.610071	1	0	0	1	0	-123.879
0.611	1	0	0	1	0	-123.879
0.611071	1	0	0	1	0	-123.879
0.612	1	0	0	1	0	-123.879
0.612071	1	0	0	1	0	-123.879
0.613	1	0	0	1	0	-123.879
0.613071	1	0	0	1	0	-123.879
0.614	1	0	0	1	0	-123.879
0.614071	1	0	0	1	0	-123.879
0.615	1	0	0	1	0	-123.879
0.615071	1	0	0	1	0	-123.879
0.616	1	0	0	1	0	-103.375
0.616071	1	0	0	1	0	-103.375
0.617	1	0	0	1	0	-103.375
0.617071	1	0	0	1	0	-103.375
0.618	1	0	0	1	0	-103.375
0.618071	1	0	0	1	0	-103.375
0.618071	1	0	1	1	1	-103.375
0.619	1	0	0	1	0	-103.375
0.619071	1	0	0	1	0	-103.375
0.62	1	0	0	1	0	-103.375
0.620071	1	0	0	1	0	-103.375
0.621	1	0	0	1	0	-103.375
0.621071	1	0	0	1	0	-103.375
0.622	1	0	0	1	0	-103.375
0.622071	1	0	0	1	0	-103.375
0.623	1	0	0	1	0	-103.375
0.623071	1	0	0	1	0	-103.375
0.623071	1	0	1	1	1	-103.375
0.624	1	0	0	1	0	-103.375
0.624071	1	0	0	1	0	-103.375
0.625	1	0	0	1	0	-103.375
0.625071	1	0	0	1	0	-103.375
0.625071	1	0	1	1	1	-103.375
0.626	1	0	0	1	0	-103.375
0.626071	1	0	0	1	0	-103.375
0.626071	1	0	1	1	1	-103.375
0.627	1	0	0	1	0	-103.375
0.627071	1	0	0	1	0	-103.375
0.627071	1	0	1	1	1	-103.375
0.628	1	0	0	1	0	-103.375
0.628071	1	0	0	1	0	-103.375
0.629	1	0	0	1	0	-103.375
0.629071	1	0	0	1	0	-103.375
0.629071	1	0	1	1	1	-103.375
0.63	1	0	0	1	0	-103.375
0.630071	1	0	0	1	0	-103.375
0.631	1	0	0	1	0	-103.375
0.631071	1	0	0	1	0	-103.375
0.632	1	0	0	1	0	-103.375
0.632071	1	0	0	1	0	-103.375
0.633	1	0	0	1	0	-103.375
0.633071	1	0	0	1	0	-103.375
0.633071	1	0	1	1	1	-103.375
0.634	1	0	0	1	0	-103.375
0.634071	1	0	0	1	0	-103.375
0.634071	1	0	1	1	1	-103.375
0.635	1	0	0	1	0	-103.375
0.635071	1	0	0	1	0	-103.375
0.635071	1	0	1	1	1	-103.375
0.636	1	0	0	1	0	-103.375
0.636071	1	0	0	1	0	-103.375
0.636071	1	0	1	1	1	-103.375
0.637	1	0	0	1	0	-103.375
0.637071	1	0	0	1	0	-103.375
0.637071	1	0	1	1	1	-103.375
0.638	1	0	0	1	0	-103.375
0.638071	1	0	0	1	0	-103.375
0.638071	1	0	1	1	1	-103.375
0.639	1	0	0	1	0	-103.375
0.639071	1	0	0	1	0	-103.375
0.64	1	0	0	1	0	-103.375
0.640071	1	0	0	1	0	-103.375
0.640071	1	0	1	1	1	-103.375
0.641	1	0	0	1	0	-103.375
0.641071	1	0	0	1	0	-103.375
0.642	1	0	0	1	0	-103.375
0.642071	1	0	0	1	0	-103.375
0.643	1	0	0	1	0	-103.375
0.643071	1	0	0	1	0	-103.375
0.644	1	0	0	1	0	-103.375
0.644071	1	0	0	1	0	-103.375
0.644071	1	0	1	1	1	-103.375
0.645	1	0	0	1	0	-103.375
0.645071	1	0	0	1	0	-103.375
0.645071	1	0	1	1	1	-103.375
0.646	1	0	0	1	0	-103.375
0.646071	1	0	0	1	0	-103.375
0.646071	1	0	1	1	1	-103.375
0.647	1	0	0	1	0	-103.375
0.647071	1	0	0	1	0	-103.375
0.647071	1	0	1	1	1	-103.375
0.648	1	0	0	1	0	-103.375
0.648071	1	0	0	1	0	-103.375
0.648071	1	0	1	1	1	-103.375
0.649	1	0	0	1	0	-103.375
0.649071	1	0	0	1	0	-103.375
0.649071	1	0	1	1	1	-103.375
0.65	1	0	0	1	0	-103.375
0.650071	1	0	0	1	0	-103.375
0.651	1	0	0	1	0	-103.375
0.651071	1	0	0	1	0	-103.375
0.651071	1	0	1	1	1	-103.375
0.652	1	0	0	1	0	-103.375
0.652071	1	0	0	1	0	-103.375
0.653	1	0	0	1	0	-103.375
0.653071	1	0	0	1	0	-103.375
0.654	1	0	0	1	0	-103.375
0.654071	1	0	0	1	0	-103.375
0.655	1	0	0	1	0	-103.375
0.655071	1	0	0	1	0	-103.375
0.655071	1	0	1	1	1	-103.375
0.656	1	0	0	1	0	-103.375
0.656071	1	0	0	1	0	-103.375
0.656071	1	0	1	1	1	-103.375
0.657	1	0	0	1	0	-103.375
0.657071	1	0	0	1	0	-103.375
0.657071	1	0	1	1	1	-103.375
0.658	1	0	0	1	0	-103.375
0.658071	1	0	0	1	0	-103.375
0.658071	1	0	1	1	1	-103.375
0.659	1	0	0	1	0	-103.375
0.659071	1	0	0	1	0	-103.375
0.659071	1	0	1	1	1	-103.375
0.66	1	0	0	1	0	-103.375
0.660071	1	0	0	1	0	-103.375
0.660071	1	0	1	1	1	-103.375
0.661	1	0	0	1	0	-103.375
0.661071	1	0	0	1	0	-103.375
0.662	1	0	0	1	0	-103.375
0.662071	1	0	0	1	0	-103.375
0.662071	1	0	1	1	1	-103.375
0.663	1	0	0	1	0	-103.375
0.663071	1	0	0	1	0	-103.375
0.664	1	0	0	1	0	-103.375
0.664071	1	0	0	1	0	-103.375
0.665	1	0	0	1	0	-103.375
0.665071	1	0	0	1	0	-103.375
0.666	1	0	0	1	0	-103.375
0.666071	1	0	0	1	0	-103.375
0.666071	1	0	1	1	1	-103.375
0.667	1	0	0	1	0	-103.375
0.667071	1	0	0	1	0	-103.375
0.667071	1	0	1	1	1	-103.375
0.668	1	0	0	1	0	-103.375
0.668071	1	0	0	1	0	-103.375
0.668071	1	0	1	1	1	-103.375
0.669	1	0	0	1	0	-103.375
0.669071	1	0	0	1	0	-103.375
0.669071	1	0	1	1	1	-103.375
0.67	1	0	0	1	0	-103.375
0.670071	1	0	0	1	0	-103.375
0.670071	1	0	1	1	1	-103.375
0.671	1	0	0	1	0	-103.375
0.671071	1	0	0	1	0	-103.375
