time(s)	cellId	rnti	lcid	packetSize
1.742	2	1	4	8309
1.742	2	1	4	8309
1.753	2	1	4	8309
1.753	2	1	4	8309
1.754	2	1	4	8309
1.754	2	1	4	8309
1.756	2	1	4	7618
1.756	2	1	4	7618
1.76	2	1	4	8309
1.76	2	1	4	8309
1.762	2	1	4	8309
1.762	2	1	4	8309
1.773	2	1	4	8309
1.773	2	1	4	8309
1.774	2	1	4	8309
1.774	2	1	4	8309
1.776	2	1	4	8309
1.776	2	1	4	8309
1.78	2	1	4	8309
1.78	2	1	4	8309
1.782	2	1	4	8309
1.782	2	1	4	8309
1.793	2	1	4	8309
1.793	2	1	4	8309
1.794	2	1	4	8309
1.794	2	1	4	8309
1.796	2	1	4	8309
1.796	2	1	4	8309
1.8	2	1	4	8309
1.8	2	1	4	8309
1.802	2	1	4	8309
1.802	2	1	4	8309
1.813	2	1	4	8309
1.813	2	1	4	8309
1.814	2	1	4	8309
1.814	2	1	4	8309
1.816	2	1	4	8309
1.816	2	1	4	8309
1.82	2	1	4	8309
1.82	2	1	4	8309
1.822	2	1	4	8309
1.822	2	1	4	8309
1.823	2	1	4	8309
1.823	2	1	4	8309
1.824	2	1	4	114671
1.824	2	1	4	8309
1.825	2	1	4	114671
1.825	2	1	4	8309
1.826	2	1	4	83395
1.826	2	1	4	83395
1.827	2	1	4	114671
1.827	2	1	4	83395
1.828	2	1	4	83395
1.828	2	1	4	83395
1.831	2	1	4	83395
1.831	2	1	4	83395
1.833	2	1	4	83395
1.833	2	1	4	83395
1.834	2	1	4	83395
1.834	2	1	4	83395
1.835	2	1	4	114671
1.835	2	1	4	83395
1.836	2	1	4	105115
1.836	2	1	4	76446
1.837	2	1	4	83395
1.837	2	1	4	83395
1.838	2	1	4	114671
1.838	2	1	4	83395
1.839	2	1	4	83395
1.839	2	1	4	83395
1.842	2	1	4	83395
1.842	2	1	4	83395
1.844	2	1	4	83395
1.844	2	1	4	83395
1.845	2	1	4	83395
1.845	2	1	4	83395
1.846	2	1	4	114671
1.846	2	1	4	83395
1.847	2	1	4	114671
1.847	2	1	4	83395
1.848	2	1	4	83395
1.848	2	1	4	83395
1.849	2	1	4	114671
1.849	2	1	4	83395
1.85	2	1	4	83395
1.85	2	1	4	83395
1.853	2	1	4	83395
1.853	2	1	4	83395
1.855	2	1	4	83395
1.855	2	1	4	83395
1.856	2	1	4	83395
1.856	2	1	4	83395
1.857	2	1	4	114671
1.857	2	1	4	83395
1.858	2	1	4	114671
1.858	2	1	4	83395
1.859	2	1	4	83395
1.859	2	1	4	83395
1.86	2	1	4	114671
1.86	2	1	4	83395
1.861	2	1	4	83395
1.861	2	1	4	83395
1.864	2	1	4	83395
1.864	2	1	4	83395
1.866	2	1	4	83395
1.866	2	1	4	83395
1.867	2	1	4	83395
1.867	2	1	4	83395
1.868	2	1	4	114671
1.868	2	1	4	83395
1.869	2	1	4	114671
1.869	2	1	4	83395
1.87	2	1	4	83395
1.87	2	1	4	83395
1.871	2	1	4	114671
1.871	2	1	4	83395
1.872	2	1	4	83395
1.872	2	1	4	83395
1.875	2	1	4	83395
1.875	2	1	4	83395
1.877	2	1	4	83395
1.877	2	1	4	83395
1.878	2	1	4	83395
1.878	2	1	4	83395
1.879	2	1	4	114671
1.879	2	1	4	83395
1.88	2	1	4	114671
1.88	2	1	4	83395
1.881	2	1	4	83395
1.881	2	1	4	83395
1.882	2	1	4	114671
1.882	2	1	4	83395
1.883	2	1	4	83395
1.883	2	1	4	83395
1.886	2	1	4	83395
1.886	2	1	4	83395
1.888	2	1	4	83395
1.888	2	1	4	83395
1.889	2	1	4	83395
1.889	2	1	4	83395
1.89	2	1	4	114671
1.89	2	1	4	83395
1.891	2	1	4	114671
1.891	2	1	4	83395
1.892	2	1	4	83395
1.892	2	1	4	83395
1.893	2	1	4	114671
1.893	2	1	4	83395
1.894	2	1	4	83395
1.894	2	1	4	83395
1.897	2	1	4	83395
1.897	2	1	4	83395
1.899	2	1	4	83395
1.899	2	1	4	83395
1.9	2	1	4	83395
1.9	2	1	4	83395
1.901	2	1	4	114671
1.901	2	1	4	83395
1.902	2	1	4	114671
1.902	2	1	4	83395
1.903	2	1	4	83395
1.903	2	1	4	83395
1.904	2	1	4	114671
1.904	2	1	4	83395
1.905	2	1	4	83395
1.905	2	1	4	83395
1.908	2	1	4	62546
1.908	2	1	4	55950
1.91	2	1	4	27797
1.91	2	1	4	23781
1.911	2	1	4	13897
1.911	2	1	4	11894
1.912	2	1	4	19109
1.912	2	1	4	6681
1.913	2	1	4	19109
1.913	2	1	4	6681
1.914	2	1	4	13897
1.914	2	1	4	11894
1.915	2	1	4	19109
1.915	2	1	4	6681
1.916	2	1	4	13897
1.916	2	1	4	11894
1.919	2	1	4	41697
1.919	2	1	4	35668
1.921	2	1	4	27797
1.921	2	1	4	23781
1.922	2	1	4	13897
1.922	2	1	4	11894
1.933	2	1	4	13158
1.933	2	1	4	8309
1.935	2	1	4	13158
1.935	2	1	4	8309
1.939	2	1	4	8309
1.939	2	1	4	8309
1.941	2	1	4	8309
1.941	2	1	4	8309
1.942	2	1	4	13158
1.942	2	1	4	8309
1.953	2	1	4	8309
1.953	2	1	4	8309
1.955	2	1	4	8309
1.955	2	1	4	8309
1.959	2	1	4	8309
1.959	2	1	4	8309
1.961	2	1	4	8309
1.961	2	1	4	8309
1.962	2	1	4	8309
1.962	2	1	4	8309
1.973	2	1	4	8309
1.973	2	1	4	8309
1.975	2	1	4	8309
1.975	2	1	4	8309
1.979	2	1	4	8309
1.979	2	1	4	8309
1.981	2	1	4	8309
1.981	2	1	4	8309
1.982	2	1	4	8309
1.982	2	1	4	8309
1.993	2	1	4	8309
1.993	2	1	4	8309
1.995	2	1	4	8309
1.995	2	1	4	8309
1.996	2	1	4	7618
1.996	2	1	4	7618
2.002	2	1	4	8309
2.002	2	1	4	8309
2.003	2	1	4	8309
2.003	2	1	4	8309
2.014	2	1	4	8309
2.014	2	1	4	8307
2.015	2	1	4	8309
2.015	2	1	4	8309
2.016	2	1	4	8309
2.016	2	1	4	8309
