time(s)	cellId	rnti	lcid	packetSize
0.425922	2	1	4	1030
0.425962	2	1	4	1030
0.426002	2	1	4	1030
0.426042	2	1	4	1030
0.426082	2	1	4	1030
0.426122	2	1	4	1030
0.426162	2	1	4	1030
0.426202	2	1	4	1030
0.426242	2	1	4	1030
0.426282	2	1	4	1030
0.426322	2	1	4	1030
0.426362	2	1	4	1030
0.426402	2	1	4	1030
0.426442	2	1	4	1030
0.426482	2	1	4	1030
0.426522	2	1	4	1030
0.426562	2	1	4	1030
0.426602	2	1	4	1030
0.426642	2	1	4	1030
0.426682	2	1	4	1030
0.426722	2	1	4	1030
0.426762	2	1	4	1030
0.426802	2	1	4	1030
0.426842	2	1	4	1030
0.426882	2	1	4	1030
0.426922	2	1	4	1030
0.426962	2	1	4	1030
0.427002	2	1	4	1030
0.427042	2	1	4	1030
0.427082	2	1	4	1030
0.427122	2	1	4	1030
0.427162	2	1	4	1030
0.427202	2	1	4	1030
0.427242	2	1	4	1030
0.427282	2	1	4	1030
0.427322	2	1	4	1030
0.427362	2	1	4	1030
0.427402	2	1	4	1030
0.427442	2	1	4	1030
0.427482	2	1	4	1030
0.427522	2	1	4	1030
0.427562	2	1	4	1030
0.427602	2	1	4	1030
0.427642	2	1	4	1030
0.427682	2	1	4	1030
0.427722	2	1	4	1030
0.427762	2	1	4	1030
0.427802	2	1	4	1030
0.427842	2	1	4	1030
0.427882	2	1	4	1030
0.427922	2	1	4	1030
0.427962	2	1	4	1030
0.428002	2	1	4	1030
0.428042	2	1	4	1030
0.428082	2	1	4	1030
0.428122	2	1	4	1030
0.428162	2	1	4	1030
0.428202	2	1	4	1030
0.428242	2	1	4	1030
0.428282	2	1	4	1030
0.428322	2	1	4	1030
0.428362	2	1	4	1030
0.428402	2	1	4	1030
0.428442	2	1	4	1030
0.428482	2	1	4	1030
0.428522	2	1	4	1030
0.428562	2	1	4	1030
0.428602	2	1	4	1030
0.428642	2	1	4	1030
0.428682	2	1	4	1030
0.428722	2	1	4	1030
0.428762	2	1	4	1030
0.428802	2	1	4	1030
0.428842	2	1	4	1030
0.428882	2	1	4	1030
