% time(s)	cellId	bwpId	IMSI	RNTI	frame	sframe	slot	symStart	numSym	stream	harqId	ndi	rv	mcs	tbSize
0.525	1	0	1	1	52	7	0	1	12	1	13	1	0	0	8312
0.526	1	0	1	1	52	8	0	1	12	0	12	1	0	0	8312
0.526	1	0	1	1	52	8	0	1	12	1	12	1	0	0	8312
0.527	1	0	1	1	52	9	0	1	12	0	11	0	2	0	8312
0.527	1	0	1	1	52	9	0	1	12	1	11	255	0	255	0
0.528	1	0	1	1	53	0	0	1	12	0	15	0	1	0	8312
0.528	1	0	1	1	53	0	0	1	12	1	15	255	0	255	0
0.529	1	0	1	1	53	1	0	1	12	0	14	0	1	0	8312
0.529	1	0	1	1	53	1	0	1	12	1	14	255	0	255	0
0.53	1	0	1	1	53	2	0	1	12	0	13	0	1	0	8312
0.53	1	0	1	1	53	2	0	1	12	1	13	255	0	255	0
0.531	1	0	1	1	53	3	0	1	12	0	12	0	1	0	8312
0.531	1	0	1	1	53	3	0	1	12	1	12	255	0	255	0
0.532	1	0	1	1	53	4	0	1	12	0	11	0	3	0	8312
0.532	1	0	1	1	53	4	0	1	12	1	11	255	0	255	0
0.533	1	0	1	1	53	5	0	1	12	0	15	0	2	0	8312
0.533	1	0	1	1	53	5	0	1	12	1	15	255	0	255	0
0.534	1	0	1	1	53	6	0	1	12	0	14	0	2	0	8312
0.534	1	0	1	1	53	6	0	1	12	1	14	255	0	255	0
0.535	1	0	1	1	53	7	0	1	12	0	13	0	2	0	8312
0.535	1	0	1	1	53	7	0	1	12	1	13	255	0	255	0
0.536	1	0	1	1	53	8	0	1	12	0	12	0	2	0	8312
0.536	1	0	1	1	53	8	0	1	12	1	12	255	0	255	0
0.537	1	0	1	1	53	9	0	1	12	0	11	1	0	0	8312
0.537	1	0	1	1	53	9	0	1	12	1	11	1	0	0	8312
0.538	1	0	1	1	54	0	0	1	12	0	15	0	3	0	8312
0.538	1	0	1	1	54	0	0	1	12	1	15	255	0	255	0
0.539	1	0	1	1	54	1	0	1	12	0	14	0	3	0	8312
0.539	1	0	1	1	54	1	0	1	12	1	14	255	0	255	0
0.54	1	0	1	1	54	2	0	1	12	0	13	0	3	0	8312
0.54	1	0	1	1	54	2	0	1	12	1	13	255	0	255	0
0.541	1	0	1	1	54	3	0	1	12	0	12	0	3	0	8312
0.541	1	0	1	1	54	3	0	1	12	1	12	255	0	255	0
0.542	1	0	1	1	54	4	0	1	12	0	11	0	1	0	8312
0.542	1	0	1	1	54	4	0	1	12	1	11	255	0	255	0
0.543	1	0	1	1	54	5	0	1	12	0	15	1	0	0	8312
0.543	1	0	1	1	54	5	0	1	12	1	15	1	0	0	8312
0.544	1	0	1	1	54	6	0	1	12	0	14	1	0	0	8312
0.544	1	0	1	1	54	6	0	1	12	1	14	1	0	0	8312
0.545	1	0	1	1	54	7	0	1	12	0	13	1	0	0	8312
0.545	1	0	1	1	54	7	0	1	12	1	13	1	0	0	8312
0.546	1	0	1	1	54	8	0	1	12	0	12	1	0	0	8312
0.546	1	0	1	1	54	8	0	1	12	1	12	1	0	0	8312
0.547	1	0	1	1	54	9	0	1	12	0	11	0	2	0	8312
0.547	1	0	1	1	54	9	0	1	12	1	11	255	0	255	0
0.548	1	0	1	1	55	0	0	1	12	0	15	0	1	0	8312
0.548	1	0	1	1	55	0	0	1	12	1	15	255	0	255	0
0.549	1	0	1	1	55	1	0	1	12	0	14	0	1	0	8312
0.549	1	0	1	1	55	1	0	1	12	1	14	255	0	255	0
0.55	1	0	1	1	55	2	0	1	12	0	13	0	1	0	8312
0.55	1	0	1	1	55	2	0	1	12	1	13	255	0	255	0
0.551	1	0	1	1	55	3	0	1	12	0	12	0	1	0	8312
0.551	1	0	1	1	55	3	0	1	12	1	12	255	0	255	0
0.552	1	0	1	1	55	4	0	1	12	0	11	0	3	0	8312
0.552	1	0	1	1	55	4	0	1	12	1	11	255	0	255	0
